title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Excellent team and great manager’,Business Banking Manager,Great place to work.,Nothing specific to add,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Notting Hill, Victoria, Australia",4.0,4.0,5.0,5.0,4.0,4.0,5.0,ANZ
‘It was a job’,Customer Service,Customer contact,Selling prioty,Recommends working here: No,Rates salary as: Low,4 years ago,"Bunbury, Western Australia, Australia",3.0,3.0,2.0,2.0,1.0,3.0,2.0,ANZ
‘Satisfying being able to help people manage their finances’,Personal Banker,Customers,Management at times,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,4.0,4.0,3.0,3.0,4.0,5.0,ANZ
‘Worked for 23 years and for the most part enjoyed it and learnt a multitude of roles’,Personal Banker,You can move around Australia and if you want to move up there is opportunity.,Technology,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Darwin, Northern Territory, Australia",4.0,3.0,4.0,3.0,3.0,4.0,4.0,ANZ
‘Trying to find another job everyday’,Credit Analyst,College are great and work together to get the job done,You’re micromanaged to the min,Recommends working here: No,Rates salary as: Low,2 years ago,"Docklands, Victoria, Australia",1.0,1.0,3.0,3.0,1.0,3.0,1.0,ANZ
"‘It was good, gained some skills’",Insurance Consultant,Staff benefits,Some of the managers,Recommends working here: Yes,Rates salary as: Average,4 years ago,Parramatta,4.0,4.0,3.0,3.0,4.0,3.0,4.0,ANZ
‘Useful but a little damaging’,Project Manager,Good work colleagues,Poor culture and senior executives,Recommends working here: No,Rates salary as: Average,3 years ago,"Melbourne, Victoria, Australia",2.0,2.0,3.0,1.0,2.0,2.0,1.0,ANZ
‘A means to and end’,Manager,Dealing with Customers and coworkers.,Poor middle and upper managememt and focussed on sales only and not customers,Recommends working here: No,Rates salary as: Average,2 years ago,"Victoria, Australia",2.0,3.0,3.0,1.0,2.0,3.0,1.0,ANZ
‘Company to work with.’,Reporting Analyst,Company is employee and customer centric.,N.A,Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,5.0,5.0,4.0,5.0,5.0,4.0,ANZ
‘Lending/sales’,Corporate AM,Great culture,Systems,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,4.0,4.0,4.0,3.0,4.0,5.0,ANZ
‘-’,Financial Advisor,The opportunities to change into different departments.,The culture & resources,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,3.0,2.0,4.0,4.0,4.0,ANZ
‘Learnt a lot’,BM,Training,Micro managing,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,2.0,3.0,5.0,3.0,5.0,4.0,ANZ
‘Awesome place to work’,Small Business Specialist,All good ..great place to work,No challenge till date in my role,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Parramatta, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ANZ
‘Limited resources high demand’,Business Banker,Great colleagues,Management disconnect with frontline.,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,2.0,3.0,2.0,3.0,4.0,3.0,ANZ
‘Learning’,Project Manager,Pay,Processes,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",3.0,3.0,3.0,3.0,3.0,3.0,3.0,ANZ
‘Enjoyed working there’,Manager,Good culture and environment,None,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",2.0,1.0,3.0,3.0,3.0,5.0,1.0,ANZ
‘Not again’,Assessment Officer,Nothing that can be write,Hard to go up without connection,Recommends working here: No,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",1.0,3.0,2.0,1.0,1.0,3.0,1.0,ANZ
‘Pleasing’,Operational Risk And Compliance Manager,Lots of opportunity,Size and politics,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,ANZ
‘Very good’,Personal Banker,Career opportunities,Technology is the challenge.,Recommends working here: Yes,Rates salary as: Low,3 years ago,,5.0,5.0,4.0,4.0,3.0,5.0,5.0,ANZ
‘God’,Junior Officer,Benefits,Schedule,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,4.0,4.0,4.0,5.0,5.0,ANZ
‘Icare’,Senior Personal Banker,Career options and progression - reputation,Technology,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Perth, Western Australia, Australia",4.0,5.0,4.0,3.0,4.0,4.0,4.0,ANZ
‘No career progression’,Call Centre Operator,Colleges,Management. Unrealistic goals,Recommends working here: No,Rates salary as: Average,4 years ago,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,ANZ
‘Roller coaster ride’,Service Consultant,Large company.  Job security,Low staffing levels.  Selling,Recommends working here: No,Rates salary as: Average,3 years ago,morayfield,4.0,2.0,2.0,2.0,3.0,5.0,3.0,ANZ
‘Awful’,Relationship Manager,N/a not prepared to say,N/a not prepared to say,Recommends working here: No,Rates salary as: Average,2 years ago,"Brisbane, Queensland, Australia",2.0,1.0,1.0,1.0,2.0,1.0,1.0,ANZ
‘Not a good one’,Customer Service,Nothing,Everything,Recommends working here: No,Rates salary as: Average,4 years ago,,2.0,1.0,3.0,2.0,3.0,4.0,2.0,ANZ
‘Overall managers I work under are poor managers.’,Lending Services,Flexible working times,"ANZ ask for 2 way communications, then view as being negative.",Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",2.0,2.0,1.0,1.0,2.0,2.0,2.0,ANZ
‘Been mostly great. Expect it will improve again in the next couple of years.’,Technology Operations Professional,"Great people. Enjoyed the challenge of working in a complex technology environment. Great employee benefits. Size of the organisation means that if one is dissatisfied in their current role, it's usually easy enough to move to a better role and/or manager.","Size of the organisation means that initiatives move slowly, despite the introduction of Agile and New Ways of Working. Still politically driven in some parts of the business despite introduction of \""New Ways of Leading\"".",Recommends working here: Yes,Rates salary as: High,6 months ago,"Melbourne VIC, Australia",4.0,5.0,4.0,3.0,5.0,5.0,4.0,ANZ
‘Enjoy working’,Sevice Consultant,Good friends,Targets,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Mortdale, New South Wales, Australia",3.0,3.0,4.0,4.0,4.0,4.0,4.0,ANZ
