title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Did not feel accepted or valued.’,Business Lending Consultant,"Flexible working hours, meaning great work/life balance.",Not being able to voice your opinion.,Recommends working here: No,Rates salary as: Average,2 months ago,"Melbourne VIC, Australia",2.0,5.0,1.0,1.0,5.0,1.0,2.0,Westpac Banking Corporation
"‘I learnt some great life lessons, learnt about the corporate world and met some amazing people. Overall, westpac is a great place to work - but because the company is so big you really are just a number. ’",Personal Banking Specialist,"Good career development, competitive salary if you get high enough in branch. ",I personally had a bad experience with some aspects of management - but I’m sure some people have great experiences. Hours are long. ,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Manly NSW, Australia",4.0,2.0,4.0,1.0,5.0,5.0,4.0,Westpac Banking Corporation
‘More work with fewer resources.’,Legal Role,Some immediate colleagues are very nice,It is very much form over substance - politically correct above all else. ,Recommends working here: No,Rates salary as: Low,2 months ago,"Sydney NSW, Australia",3.0,2.0,2.0,2.0,2.0,4.0,3.0,Westpac Banking Corporation
‘Great company by encouraging its employees to further develop and help them to achieve their potentials.’,Lender Mortgage Insurance Operation Officer,"Equal job opportunity for everyone, multi cultural work environment ",Update new sets of skills; learning on daily basis.,Recommends working here: Yes,Rates salary as: High,2 months ago,Barangaroo 新南威尔士州澳大利亚,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Terrible place to work.’,Senior Project Manager,"Work life balance, some areas are better than others.
It all comes down to the manager.","Terrible management, especially in Operations",Recommends working here: No,Rates salary as: Low,3 months ago,"Sydney NSW, Australia",3.0,3.0,1.0,1.0,1.0,3.0,1.0,Westpac Banking Corporation
‘Love Westpac ’,Personal Banker,"Work life balance, friendly colleagues and employers, good management ",Sometimes it can be hard to hit targets,Recommends working here: Yes,Rates salary as: High,2 months ago,"Canberra ACT, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Loving it so far’,Customer Service Role,Loads of support through a sensible induction / onboarding process which has greatly aided my progress.,"Steep learning curve and very strict compliance, which makes sense given the industry.",Recommends working here: Yes,Rates salary as: High,2 months ago,"Bedford Park SA, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Average’,Senior Marketing Manager,Flexible working  hours,Culture and poor senior leadership,Recommends working here: No,Rates salary as: Low,2 years ago,"Sydney, New South Wales, Australia",1.0,2.0,1.0,1.0,5.0,1.0,1.0,Westpac Banking Corporation
‘Worst place to work ’,Home Lending Specialist,Nothing good to write about ,It’s only a challenge. From pressure to selling to restricted staffing to unachievable targets,Recommends working here: No,Rates salary as: Average,2 months ago,"Melbourne VIC, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Westpac Banking Corporation
‘Has significantly lacked culture in past 12 months as well as genuine leadership ’,Risk Manager,General benefits of working in a large Corp ,Lack of genuine leadership from the top. Poor culture ,Recommends working here: No,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",2.0,1.0,2.0,1.0,3.0,3.0,2.0,Westpac Banking Corporation
