title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Overall good but lack of support from the Manager’,Css,A good brand .good flow of customers,To cope up with customer complaints,Recommends working here: Yes,Rates salary as: Low,3 years ago,Canberra,4.0,3.0,2.0,3.0,2.0,4.0,3.0,Commonwealth Bank of Australia
‘The people are good the job not great’,Customer Service Specialist,The people are great,Not a lot of career progression opportunities,Recommends working here: No,Rates salary as: High,2 years ago,"Melbourne, Victoria, Australia",2.0,2.0,4.0,3.0,3.0,4.0,3.0,Commonwealth Bank of Australia
‘Good experience’,Savings Specialist,"Great Training, good uniform etc",Customers everywhere,Recommends working here: Yes,Rates salary as: Average,3 years ago,,5.0,3.0,4.0,5.0,3.0,5.0,4.0,Commonwealth Bank of Australia
‘Educational’,Data Ntry Catsloguer,"Fantastic support from team and staff educational, respectful environment",Not able to be a faster typer..practise practise,Recommends working here: Yes,Rates salary as: High,4 years ago,"Footscray, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Commonwealth Bank of Australia
‘If it suits you great’,Solution Designer,Great technology up with the best banks in terms of investment in technology and innovation,Extremely political environment.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",3.0,2.0,2.0,1.0,4.0,4.0,3.0,Commonwealth Bank of Australia
‘Good overall’,Admin Coordinator,"Development of skils, team focus","Self education, cold, little loality",Recommends working here: Yes,Rates salary as: High,3 years ago,sydney,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Commonwealth Bank of Australia
‘A nice group of people to work with!’,Learning Consultant,"Enthusiastic team, hard working, customer first","The usual, never enough time.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,3.0,3.0,3.0,4.0,5.0,4.0,Commonwealth Bank of Australia
‘It will give you a diverse understanding of finance and how to help people. ’,Customer Service Representative,"Team culture, understanding management and good pay ",Minimal opportunity to grow within the company. ,Recommends working here: Yes,Rates salary as: High,1 year ago,"Burnie - Somerset TAS, Australia",2.0,5.0,4.0,3.0,5.0,5.0,4.0,Commonwealth Bank of Australia
‘Good work environment lots of overtime without pay as heaps of paperwork’,Personal Lender Sales,Work life balance accompanied dating,Sales targets policy changes,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,4.0,4.0,4.0,5.0,4.0,Commonwealth Bank of Australia
‘Great place to get some experience but the remuneration is poor.’,Senior Technical Business Analyst,Technologically advanced,Switching roles and moving within the bank,Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney Olympic Park, New South Wales, Australia",1.0,2.0,3.0,1.0,1.0,4.0,2.0,Commonwealth Bank of Australia
"‘An awesome place to work, learn and grow’",Customer Support Specialist,"Wonderful, supportive manager.",Not much. Need to get used to the high volume of calls. But that comes over experience,Recommends working here: Yes,Rates salary as: Average,3 years ago,,3.0,4.0,4.0,5.0,4.0,4.0,5.0,Commonwealth Bank of Australia
‘Great career opportunity for motivates people’,Customer Support Assistant,Career opportunity is exceptional and always opportunity to career plan and learn more.,The role is a sales role. Going into poor demographics with very high pressure from managers is a challenge at times.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,4.0,3.0,5.0,5.0,4.0,Commonwealth Bank of Australia
‘Worst 7 years of my life.’,Head Teller,Great health fund.,People in charge are only out for themselves not the bank.,Recommends working here: No,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",3.0,2.0,2.0,1.0,3.0,3.0,2.0,Commonwealth Bank of Australia
‘Stressful’,Customer Service Specialist,"If you are sales driven, then this is good for you. If not, look somewhere else.",Putting up with people you work with. It is a toxic environment,Recommends working here: No,Rates salary as: Average,2 years ago,"Dalby QLD, Australia",2.0,2.0,1.0,2.0,2.0,2.0,2.0,Commonwealth Bank of Australia
‘Great and rewarding.’,Branch Concierge,"Team work, supporting bosses and encouragement from colleagues","1.Standing all day.
2. Language issues",Recommends working here: Yes,Rates salary as: Average,3 years ago,Fairfield NSW,5.0,4.0,4.0,4.0,4.0,5.0,5.0,Commonwealth Bank of Australia
‘Grossly underwhelmed by the low level of management transparency.’,Corporate Relationship Executive,Technology,Limited understanding of cash-flow lending,Recommends working here: No,Rates salary as: Average,4 years ago,"Perth, Western Australia, Australia",2.0,2.0,1.0,2.0,2.0,2.0,2.0,Commonwealth Bank of Australia
‘Great opportunity’,Bank Teller,Hours are good. Job is clear. Train I ng is amazing,Pressure to sell.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Corowa, New South Wales, Australia",5.0,5.0,4.0,4.0,5.0,5.0,5.0,Commonwealth Bank of Australia
