title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Underwhelming at best. ’,Cyber Security,Great work life balance and ability to work remotely at times that work best for you. ,Lots of lip service from senior managers. Very political and everyone is in it for themselves. I’ve never seen direct reports of the C level throw their teams under the bus like they do at AGL. No accountability at that level. Quick to point the finger and play the blame game. ,Recommends working here: No,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",1.0,5.0,3.0,1.0,3.0,3.0,2.0,AGL Energy
‘Culture changed for the worse’,Digital Business Analyst,Flexible working environment ,People and team changes,Recommends working here: No,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",2.0,5.0,3.0,3.0,3.0,5.0,3.0,AGL Energy
‘Great for a contractor!’,Scrum Master,"Great location, fantastic office facilities, great work-life-balance","Management can be underwhelming at times... lacking direction, vision and execution of a genuine plan.",Recommends working here: Yes,Rates salary as: High,2 months ago,"Melbourne City, VIC, Australia",4.0,5.0,5.0,3.0,3.0,5.0,4.0,AGL Energy
‘Could have been great if they listened to SME's and had integrity’,Security,My role wasn't well defined and there was opportunity to design the role.,Management did have the right knowledge in this area to understand the problem and because they reported things were getting address (which they weren't) anyone telling them it wasn't fixed wasn't welcome.,Recommends working here: No,Rates salary as: Average,3 months ago,"Melbourne VIC, Australia",1.0,2.0,2.0,1.0,2.0,2.0,1.0,AGL Energy
‘Lack of senior management capability and ability to speak out’,Information Technology Manager,"Constant change, thus opportunities exist",Lack of leadership / management capabilities ,Recommends working here: No,Rates salary as: Average,2 months ago,"Melbourne VIC, Australia",1.0,4.0,4.0,1.0,2.0,1.0,2.0,AGL Energy
‘Awesome ’,Team Leader,"Culture and support, clear expectations ","High standards expected
Difficult to get flexible working ",Recommends working here: Yes,Rates salary as: High,2 months ago,"Eastwood SA, Australia",3.0,4.0,5.0,5.0,5.0,5.0,5.0,AGL Energy
‘VERY GOOD PLACE TO WORK. HAVE TO DELIVER IN QUICK TURNAROUND TIMES’,Customer Resolutions Representative,SKILLS DEVELOPMENT AND HIGH EMPHASIS ON INDIVIDUAL WELL BEING.CARE FROM MANAGEMENT TOWARDS ORDINARY STAFF,VERY HIGH EXPECTATIONS AND PERFORMANCES,Recommends working here: Yes,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",4.0,5.0,4.0,5.0,4.0,5.0,4.0,AGL Energy
"‘Could have been better, but those responsible for providing opportunities simply and wrongly got in the way of genuine talent.’",Categories Manager,Some personnel are really good at what they do - however are often overridden with poor decisions.,Career progression is at the mercy of poor management styles who service their own interests above those of their direct reports.,Recommends working here: Yes,Rates salary as: Low,2 months ago,"Docklands VIC, Australia",1.0,2.0,2.0,1.0,1.0,1.0,2.0,AGL Energy
‘If it wasn’t for the pay I’d be gone’,Resolutions Manager,Discounts off power and gas,"Management 
Getting flexible working ",Recommends working here: No,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",1.0,1.0,1.0,1.0,3.0,2.0,1.0,AGL Energy
"‘Great place to stay, if you have bonded with Senior Managers’",Project Manager,Competence and competitiveness,"Especially in IT, some Middle/Senior managers remain self-centric and rather employ friends than allocate work on merit; competition is too often an offshoring IT Business partner, who is much cheaper",Recommends working here: Yes,Rates salary as: Average,2 months ago,"Melbourne City, VIC, Australia",3.0,4.0,5.0,3.0,4.0,5.0,4.0,AGL Energy
‘Experience from a maintenance worker’,Electrical Engineering Technician,"Even time roster, with very High hourly salary! ",Difficult when dealing with management.,Recommends working here: Yes,Rates salary as: High,2 months ago,"Liddell NSW, Australia",5.0,5.0,4.0,2.0,4.0,3.0,4.0,AGL Energy
"‘Latest tech stack, fancy office, diverse culture’",Senior API Developer,"They are on latest tech stack
Most apps are on cloud
New office",I didn't find anything significant,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Melbourne VIC, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0,AGL Energy
‘The reality doesn't match the promise’,Manager,"Flexible work environment, but depends on your manager.","Senior leadership don't live the values, it isn't safe to speak up, the glossy purpose and values aren't the reality of how the organisation works.",Recommends working here: No,Rates salary as: Average,3 months ago,"Melbourne City, VIC, Australia",1.0,1.0,1.0,1.0,2.0,1.0,1.0,AGL Energy
"‘Great people, very good culture with good leadership and direction.’",Insights Specialist,Good People and culture,If the team is small growth opportunities can be restricted within the team. But can be accessed across the company.,Recommends working here: Yes,Rates salary as: High,3 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0,AGL Energy
‘Great working environment’,Technical Architect,Great working environment,Bureaucratic Management ,Recommends working here: Yes,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",4.0,4.0,5.0,4.0,5.0,5.0,4.0,AGL Energy
‘Awesome’,Manager,"Great culture, great people",Keeping up with the pace of change,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,AGL Energy
"‘Great for 6 to 9 months, not the long term! ’",Analyst,"Great and friendly professionals at the operational level, very good infrastructure and support. Exposure to some of the best technology and field experts ",A very unstable environment with almost no real collaboration across different teams and political toxicity at higher levels which hinders any progress made at lower levels. Contractors and consultants basically run the place making stability and sustainability an issue. ,Recommends working here: Yes,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",2.0,4.0,4.0,2.0,2.0,2.0,2.0,AGL Energy
‘A good place to work at’,Marketing Specialist,The Work flexibility is fantastic and the Melbourne building is a great environment to work in.,"Management can be challenging and a bit heirarchial, depending on the area of the business",Recommends working here: Yes,Rates salary as: Average,2 months ago,"Melbourne VIC, Australia",3.0,5.0,4.0,3.0,5.0,5.0,4.0,AGL Energy
"‘Stability in career growth, and attention to mental health/diversity/inclusion needs more work’",Team Leader,"Great offices, and very positive high level and senior leadership","Lower to middle management were not and continue not to be trained/up skilled in both diversity and mental health conversations. Considering this is a big thing spoken about from a branding perspective, to the greater market and by the CEO of the company, the effort to engage appropriately as you make it down the chain is not representative of the perception.

Very limited career progression, particularly in parts of the business where there appears to be a level of isolation, and unwillingness to encourage internal attrition and growth.

The restructures! My god the restructures!! How do they restructure so frequently?? ",Recommends working here: No,Rates salary as: Average,2 months ago,"Melbourne VIC, Australia",1.0,2.0,4.0,1.0,3.0,4.0,2.0,AGL Energy
‘I would recommend AGL to anyone.’,Customer Service Role,"Fantastic company to work for. Great environment, opportunities, and diversity. Loved every minute of working for AGL",None it is a very supportive environment,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Adelaide SA, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,AGL Energy
‘Terrible place for your mental health’,Customer Resolutions,"The staff working there on the phones, they work hard, but that is it.","Everything, the management SUCKS. They get paid large while doing jack all.",Recommends working here: No,Rates salary as: Average,2 years ago,"Eastwood SA, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,AGL Energy
‘Never again!’,Sales Representative,I didn't enjoy it,Targets set were not achievable,Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,AGL Energy
‘A lot of potential with little delivery due to politics’,Solar Engineer,Steady job,Restructuring,Recommends working here: No,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",2.0,3.0,2.0,1.0,3.0,1.0,2.0,AGL Energy
‘The company is engaging to staff’,Process Analysts,The culture,Management,Recommends working here: Yes,Rates salary as: High,4 years ago,"Adelaide, South Australia, Australia",4.0,4.0,4.0,3.0,3.0,5.0,4.0,AGL Energy
"‘A good place to work but with little opportunities for career development and growth, with rampant politics and factionalism.’",Manager,Company makes profits,Culture,Recommends working here: No,Rates salary as: Average,4 years ago,Melboure,1.0,4.0,4.0,2.0,4.0,2.0,2.0,AGL Energy
‘Need more training’,CSR Customer Resolutions,City location,Targets,Recommends working here: No,Rates salary as: Average,4 years ago,,1.0,1.0,5.0,1.0,5.0,5.0,1.0,AGL Energy
‘Challenging to the young that dont know how to stand up for themselves’,Csr,Nice coffee.,"If you were not part of the \""click\"" you got no where.",Recommends working here: No,Rates salary as: Average,4 years ago,"Adelaide, South Australia, Australia",1.0,2.0,3.0,1.0,3.0,1.0,2.0,AGL Energy
‘Horrible!’,Sales,Nothing good about the company,Toxic working environment with unfriendly management and staff ,Recommends working here: No,Rates salary as: Low,6 months ago,Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AGL Energy
‘Good exp’,CSR,Good people and environment,Energy mkt challenges,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide SA, Australia",4.0,4.0,4.0,4.0,4.0,5.0,4.0,AGL Energy
‘Give it a miss’,People & Culture Business Partner,???????????????????????????????????????,???????????????????????????????????,Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",1.0,2.0,1.0,1.0,3.0,1.0,1.0,AGL Energy
"‘Good for people starting families, who are looking for the big $, or are not necessarily fussed about culture.’",Digital Department,The work life balance is good - particularly the ability to work from home with no judgement. I believe mat/paternity leave is very generous - though not relevant for me. You are able to salary sacrifice for shares and/or  additional paid leave.,Culture is terrible. Very political and toxic. There are no skip-level meetings and micromanagement goes unnoticed. ,Recommends working here: No,Rates salary as: Average,9 months ago,"Melbourne VIC, Australia",2.0,4.0,2.0,1.0,2.0,4.0,2.0,AGL Energy
‘I would not go back there’,Call Centre,The location was very convenient,There was very little flexibility,Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",1.0,1.0,1.0,1.0,1.0,2.0,1.0,AGL Energy
"‘Good, but could be better.’",Customer Solutions Representative,"Great location, facilities, staff engagement, pay and conditions.","Work/life balance was an issue for me, but each employee would have to determine this for themselves individually.",Recommends working here: Yes,Rates salary as: High,1 year ago,"Adelaide SA, Australia",4.0,3.0,5.0,4.0,5.0,5.0,4.0,AGL Energy
