title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Awesome job’,Customer Service Team Member,Very supportive management,Learning new processes,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Palmerston, NT, Australia",4.0,5.0,4.0,4.0,4.0,4.0,5.0,Coles Supermarkets
‘So hard to get promotion in Coles Supermarket.’,Delicatessen Assistant,Good things about this job is flexibility. You can balance your personal and work life.,Promotion is so hard here.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Victoria, Australia",2.0,4.0,4.0,3.0,2.0,4.0,4.0,Coles Supermarkets
‘Why I will never work in a supermarket again’,Team Member,Treat you well only when they want you to do extra,Always a struggle for hours get told they have non to watch them hire another 6 junior team with no training to fill the hours up because they are cheeper,Recommends working here: No,Rates salary as: Low,2 years ago,"Western Australia, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Coles Supermarkets
‘Constantly tired working unsociable hours’,Grocery Team Member,Team members are good to work with,"Not enough staff, expecting to get so much done with limited manpower",Recommends working here: No,Rates salary as: Average,2 years ago,"Victoria, Australia",2.0,2.0,3.0,2.0,2.0,3.0,2.0,Coles Supermarkets
‘Rewarding’,Administration Officer,Great work family. I love the people i work with.,Customer service. Some customers can be very trying but mostly are lovely.,Recommends working here: Yes,Rates salary as: Average,3 years ago,Newcastle,4.0,3.0,4.0,4.0,4.0,5.0,4.0,Coles Supermarkets
‘Staff and management are brilliant’,Dairy Assistant,Staff are great customers are nice,Pleanty of challenges but even more staff to help you through it together,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Redbank QLD, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
‘Very fulfilling’,Customer Service Representative,Great teamwork and atmosphere,Keeping customers happy,Recommends working here: Yes,Rates salary as: Average,3 years ago,South Hedland Western Australia,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Coles Supermarkets
‘Amazing!’,Customer Service,They accept who I am being deaf,Service diversity of people and different accents too but good challenges,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Hawthorn, Victoria, Australia",4.0,4.0,3.0,3.0,4.0,5.0,5.0,Coles Supermarkets
‘Horrible.’,Team Member,"The hourly rate, that is just about it. Coles do not care about their employees.",Communicating with stubborn management who don't work as a team.,Recommends working here: No,Rates salary as: Low,2 years ago,"Toormina, New South Wales, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Coles Supermarkets
‘Work life balance is a major opportunity’,Assistant Store Manager,Great team to work with.,Long hours work & weekend work is a must.,Recommends working here: No,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,2.0,4.0,3.0,3.0,4.0,3.0,Coles Supermarkets
