title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
"‘Okay, given your prepared to work long days.’",Delicatessen Manager,Plenty of hours for casual staff if willing to work a variety of shifts. If you work hard there are programs in place to progress your career. Salary for DM can be okay depending on how well you can negotiate.,"Poor work/life balance for DM's who want to achieve KPI's as there is not the budget to achieve with team, you are required to put in quite a few hours extra sometimes upwards of 60+. Some team can be reluctant to do their job properly and do not react well to any change, namely older full time team who have worked for the business for a number of years. Upper management can be quite weak. Quite a reactive workplace.",Recommends working here: Yes,Rates salary as: Average,1 year ago,"New South Wales, Australia",4.0,1.0,3.0,3.0,2.0,4.0,3.0
"‘Great job to gain work experience and interpersonal skills, plenty of opportunity for moving into manager roles. ’",Checkout Operator,Great job to further develop interpersonal skills. Opportunity to work in different areas and generally working with a great team. ,Working on weekends and public holidays often. ,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Port Pirie SA, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0
‘Great for someone starting out. Can get stifled in Middle Management.’,Sales Area Manager,"Boss is not intense. Good Work Vs Life balance. 
Interesting workplace. Great customers.","Moving the business through change. Setting the vision. 
Career progression, navigating office politics. 
Diversity should not just be about gender equality. But, also include age, race, sexual preference.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",4.0,5.0,3.0,4.0,2.0,3.0,4.0
"‘A good, yet tough one.’",Casual Employee,"Making friends, new experiences, fast paced enviroment to work in. Tidy clean workspaces, easy work not too strenuous, almost any individual can work at coles.","Getting along with managers, management system, dealing with favouritism. Missinterpretation of instructions, one supervisor will say one thing, then another will say something different. Rules and regulations within the department are different from others.",Recommends working here: No,Rates salary as: Average,4 years ago,Mill Park Lakes,4.0,4.0,4.0,1.0,4.0,1.0,3.0
"‘Challenging, rewarding, overall satisfying!’",Bakery Manager,"Fast paced environment. Great way to learn retail and business with a diverse team. Fulfulling and challenging at the same time, the business pushes you to achieve your greatest potential.","Work life balance. You have to be very passionate and willing to put in the hours. If you do, you will gain a lot of experience and recogniton.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Zetland, New South Wales, Australia",4.0,3.0,4.0,4.0,4.0,4.0,4.0
"‘Good job, easy work, other staff are friendly & helpful.’",Nightfill Team Member,Other staff are really friendly & good to work with! Job is not difficult to do.,"Low pay (unless you are casual) -no penalty rates apply until after midnight on a Mon to Fri and only until 5am so if you work up until midnight you are still getting payed the same rate as someone on day shift, Penalty rates are not payed on Sat unless you work after 10pm at night.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Adelaide, South Australia, Australia",3.0,3.0,4.0,3.0,2.0,5.0,3.0
‘A great team environment’,Checkout Operator/Supervisor,Surrounded by supportive team members. Everyone works well together and helps eachother to make the shopping experience a pleasure for customers.,It can be difficult dealing with some customers and there is also a lot of theft which can be challenging to handle.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",4.0,4.0,3.0,3.0,4.0,5.0,4.0
"‘Staff discounts, easy work!!!! Great experience’",Part Time Team Member,"Staff discounts, easy work and opportunities for many hours and gaining good customer service experiences as well as cash handling etc","Often dealing with rude customers, long shifts with fairly short breaks, two extremes - a lot of standing around with nothing to do if it isn't busy, or very intense and fast paced during peak hours.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Canberra, Australian Capital Territory, Australia",2.0,4.0,4.0,4.0,3.0,4.0,4.0
"‘Nightfill was the best job I had during University and worked well around life in general. The shifts weren't very long but I was grateful because the job is quite physical. Great place for people of many walks of life, stages of life and ages!’",Nightfill Team Member,"-Casual work is very flexible for Uni students or parents
-People were great and easy going
-Nightfill is an easy job once you know how to do it
-Can be fun
-A lot of shifts","-Management are constantly changing
-High staff turn over 
-Never enough staff",Recommends working here: Yes,Rates salary as: High,6 months ago,"Bateau Bay NSW, Australia",2.0,4.0,4.0,3.0,3.0,3.0,4.0
‘Caring people with great working ethics.’,Supervisor,The store runs well because we have a good management team in place. There are a few bugs but generally management cares about its staff and makes sure to reward them for hard work.,"There are always things that need to be improved, and the team works really hard to do so. Things like chain of command can be a bit tricky to navigate if you are unfamiliar with the system.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Victoria, Australia",5.0,4.0,4.0,5.0,4.0,4.0,5.0
