title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘Career promotion at a price of lower salaries and long hours at work’,Manager,"Nice teams, management, diversity ",Relatively low salaries and expectations being higher every year,Recommends working here: Yes,Rates salary as: Low,2 months ago,"Melbourne Victoria, Australie",4.0,2.0,4.0,4.0,2.0,4.0,4.0
‘Exceptional ’,Senior Consultant,"I love the opportunities, the work and the global diversity. Most of all though, I’m valued for my time and effort. ",We definitely work hard ,Recommends working here: Yes,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Enjoyed my time at EY and would go back if the right opportunity presented itself’,Associate Director Business Development,Great people and a great place to work,Difficult for someone in business development to get ahead,Recommends working here: Yes,Rates salary as: High,4 years ago,"Brisbane, Queensland, Australia",3.0,3.0,4.0,4.0,4.0,4.0,4.0
‘It is good place to work but needs to manage the politics as the hierarchy and bureaucracy could slowdown the career development ’,Manager,"Lots of learning opportunities, good client base",Political and difficult to grow,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",4.0,5.0,4.0,5.0,2.0,5.0,5.0
‘Pointless ’,Auditor,Nice office with view ,No direction from anyone ,Recommends working here: No,Rates salary as: Low,1 year ago,"Sydney NSW, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0
‘Should have resigned 3 years earlier’,Director,Some interesting projects,The toxic leadership,Recommends working here: No,Rates salary as: Average,3 months ago,"Sydney NSW, Australia",1.0,1.0,1.0,1.0,1.0,2.0,1.0
‘Ageist organisation ’,Manager,Not much..the view from my office ,They didn't utilise me,Recommends working here: No,Rates salary as: Average,3 months ago,"Brisbane QLD, Australia",3.0,3.0,1.0,1.0,2.0,1.0,2.0
‘Horrible’,Manager,My peers and the friendships I gained,Directors and partners,Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0
‘EY is home’,Senior Associate,The people are great and friendly,Huge volume of work.,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,5.0,5.0,3.0,4.0,4.0,5.0
"‘Great people, great culture’",Manager,The people,Work life balance,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,4.0,4.0,3.0,3.0,5.0
‘Churn’,Account Director,Na,No team remote management managed via email,Recommends working here: No,Rates salary as: Average,4 years ago,,4.0,3.0,2.0,2.0,2.0,5.0,3.0
