title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘Good for entry level jobs - c/sc but not for experienced professionals’,Manager,Good entry level jobs and great learning curve,Very poor pay. High costing cutting measures in place as they have been underperforming for 2-3 years in a row.,Recommends working here: No,Rates salary as: Low,3 months ago,"Sydney NSW, Australia",3.0,3.0,3.0,2.0,2.0,3.0,3.0
"‘Diverse work experience, but long hours for little pay’",Manager,"- Great peer group who are very social
- diverse exposure to clients and industries","- Working hours are too long relative to pay
- Often make up credentials or sell underqualified resources to clients
- focus is always on chargeable hours which comes at the cost of employee wellbeing and quality",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,1.0,4.0,2.0,4.0,3.0,2.0
‘Career changing experience.’,Executive,Working day to day with some of the smartest and brightest people in the assurance and advisory consulting business.,"Staying on top of individual goals while managing quality work at clients.  While this is common in the Big 4, and EY is very supportive, one must be up for a serious challenge professionally.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,4.0,4.0,3.0,5.0,4.0
‘Great place to start up the career’,Accountant,"Fast learning curve, multiple culture, helpful people","Pressure of learning, time management. Not easy to make friends apart from regular team members",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",5.0,2.0,3.0,4.0,2.0,5.0,4.0
"‘Great team and support, pathetic work life balance and pay’",Consultant,"Good to start the career, proper training, with positive and supportive team overall","Management ‘has favourites’ in terms of work allocation and and promotions, pay is significantly lower than the market ",Recommends working here: Yes,Rates salary as: Low,6 months ago,"Melbourne VIC, Australia",3.0,1.0,4.0,3.0,2.0,3.0,3.0
‘Good opportunity to start in life!’,Auditor,You get to work with amazing and diverse teams of passionate people. The employees are young so that creates a nice atmosphere. You can learn a lot of managerial skills.,"You work long hours and don’t really have a work life balance. During busy season, you are expected to work at night and over the week end",Recommends working here: Yes,Rates salary as: Low,2 years ago,"Cité de Sydney, Nouvelle-Galles du Sud, Australie",4.0,2.0,3.0,2.0,3.0,4.0,3.0
"‘Great Culture, not so great career progression or salary.’",Executive Assistant,Great culture and social events. Open plan working and flexibility to work remotely/flexibly.,"No career progression for EA's and little to no pay rise each year, not based on performance. Based on the budget that the firm gives for EA pay rises. Rigid middle management and partners have no say over the career progression for their EA's.",Recommends working here: Yes,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",2.0,5.0,5.0,2.0,4.0,5.0,4.0
‘A great step up in my career’,Management Consultant,The people you work with,Resisting the big salaries thrown at you after 2 years,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",4.0,3.0,4.0,4.0,3.0,5.0,4.0
‘Great place to work’,Manager,"Career development,
Varied and interesting work,
Surrounded by high performers,
Challenging","Work/life balance
Below market remuneration",Recommends working here: Yes,Rates salary as: Low,2 years ago,"Sydney, New South Wales, Australia",5.0,2.0,5.0,4.0,4.0,5.0,5.0
"‘No one discuss career path. Too much focus on attire, little on the content(knoweldge). Peers are interested in judging your salary. In today's world, no strategy of what clients to target/ how to target, out of sync with Product companies. Whatever work ’",IT,Salary is at par with market.,Red tapism. and micro management. Simply my worst experience perhaps a nightmare.,Recommends working here: No,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",1.0,3.0,1.0,1.0,2.0,2.0,1.0
